 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="0.1000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.1450000000E+01   0.8323885432E+00  -0.5896858578E-16   0.1398744954E+02   0.1911998604E-04   0.1911998604E-04  -0.1227276794E-14   0.2667265450E-14  -0.6895156594E-15
   0.0000000000E+00   0.8323885432E+00  -0.6673369922E-16   0.1398744954E+02   0.1911998554E-04   0.1911998555E-04   0.2131044005E-14   0.4262366854E-16   0.1582174045E-14
   0.0000000000E+00   0.0000000000E+00   0.8323885432E+00   0.1398744954E+02   0.1911998600E-04   0.1911998600E-04  -0.3266701378E-17  -0.2093338171E-16  -0.3181188929E-15
   0.1450000000E+01   0.0000000000E+00   0.8323885432E+00   0.1398744954E+02   0.1911998604E-04   0.1911998604E-04   0.1749779409E-14  -0.3169156201E-14   0.1970088282E-15
   0.1450000000E+01   0.8323885432E+00   0.8323885432E+00   0.1398744953E+02   0.1911998603E-04   0.1911998603E-04   0.1037153917E-14   0.3789993370E-14  -0.3710681537E-16
   0.0000000000E+00   0.8323885432E+00   0.8323885432E+00   0.1398744953E+02   0.1911998617E-04   0.1911998617E-04  -0.2421195344E-14   0.4708808990E-15   0.1876438043E-14
   0.2900000000E+01   0.0000000000E+00   0.1406051605E-16   0.1398744954E+02   0.1911998591E-04   0.1911998591E-04  -0.3210661263E-15  -0.6856994053E-15  -0.9826438464E-15
   0.2900000000E+01   0.8323885432E+00  -0.1050519076E-15   0.1398744953E+02   0.1911998653E-04   0.1911998653E-04   0.2815108432E-15   0.3307353959E-16  -0.1660910074E-14
   0.2900000000E+01   0.0000000000E+00   0.8323885432E+00   0.1398744953E+02   0.1911998607E-04   0.1911998607E-04   0.9365764963E-15  -0.1735730583E-14   0.7944399389E-15
   0.2900000000E+01   0.8323885432E+00   0.8323885432E+00   0.1398744953E+02   0.1911998590E-04   0.1911998591E-04   0.1929254154E-14   0.1850272151E-14   0.1161737113E-15
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="0.4000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.1910696116E+02   0.1782380323E-04   0.1782380323E-04  -0.1577630929E-15   0.2588148552E-15  -0.1861881858E-14
   0.1600000000E+01   0.0000000000E+00  -0.5373466398E-17   0.1910696116E+02   0.1782380320E-04   0.1782380320E-04   0.7942523310E-16  -0.3591134188E-14  -0.8892733688E-15
   0.1600000000E+01   0.7930829870E+00  -0.1180021447E-15   0.1910696116E+02   0.1782380340E-04   0.1782380340E-04   0.4785042396E-14  -0.2804289663E-15   0.4036293085E-15
   0.0000000000E+00   0.7930829870E+00  -0.2404996981E-15   0.1910696116E+02   0.1782380325E-04   0.1782380326E-04   0.2810550393E-14   0.1319309375E-14   0.1601167567E-14
   0.0000000000E+00   0.0000000000E+00   0.7930829870E+00   0.1910696116E+02   0.1782380327E-04   0.1782380327E-04   0.2475056143E-16   0.1843636463E-14  -0.9711890188E-15
   0.1600000000E+01   0.0000000000E+00   0.7930829870E+00   0.1910696116E+02   0.1782380313E-04   0.1782380313E-04  -0.6127545226E-15  -0.2243273756E-14  -0.6046843578E-15
   0.1600000000E+01   0.7930829870E+00   0.7930829870E+00   0.1910696115E+02   0.1782380365E-04   0.1782380365E-04  -0.2531006613E-14   0.7602983399E-15   0.6882183194E-15
   0.0000000000E+00   0.7930829870E+00   0.7930829870E+00   0.1910696115E+02   0.1782380313E-04   0.1782380313E-04  -0.4583467588E-15   0.2761708025E-14   0.2491860405E-14
   0.3200000000E+01   0.0000000000E+00  -0.1875686440E-16   0.1910696116E+02   0.1782380332E-04   0.1782380331E-04  -0.7643283953E-15   0.2235339454E-14   0.4583255048E-15
   0.3200000000E+01   0.7930829870E+00   0.3789034125E-16   0.1910696116E+02   0.1782380301E-04   0.1782380300E-04   0.5678592445E-14   0.2483064489E-15  -0.2270570526E-14
   0.3200000000E+01   0.0000000000E+00   0.7930829870E+00   0.1910696116E+02   0.1782380313E-04   0.1782380313E-04   0.4122671788E-15   0.3346238710E-14   0.8038935468E-15
   0.3200000000E+01   0.7930829870E+00   0.7930829870E+00   0.1910696115E+02   0.1782380365E-04   0.1782380365E-04  -0.2941139683E-14   0.8873624110E-15  -0.1925002483E-14
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="0.5000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.2452884002E+02   0.1551151094E-04   0.1551151094E-04  -0.6916273936E-16   0.3052607794E-15  -0.4704914876E-15
   0.1750000000E+01   0.0000000000E+00  -0.6563942770E-17   0.2452884002E+02   0.1551151126E-04   0.1551151126E-04   0.4306187640E-14   0.3608217662E-14   0.6463796588E-16
   0.1750000000E+01   0.7590130021E+00   0.6900052492E-17   0.2452884002E+02   0.1551151096E-04   0.1551151096E-04   0.5216048774E-14  -0.2739084339E-14  -0.1191639295E-14
   0.0000000000E+00   0.7590130021E+00  -0.5378549793E-16   0.2452884002E+02   0.1551151108E-04   0.1551151108E-04   0.1709742127E-14   0.7830750201E-15   0.5042541269E-15
   0.0000000000E+00   0.0000000000E+00   0.7590130021E+00   0.2452884002E+02   0.1551151108E-04   0.1551151108E-04  -0.2990563031E-16  -0.4113176835E-14  -0.2384614557E-15
   0.1750000000E+01   0.0000000000E+00   0.7590130021E+00   0.2452884002E+02   0.1551151096E-04   0.1551151096E-04  -0.2831068945E-14   0.2655508038E-14   0.1135599734E-14
   0.1750000000E+01   0.7590130021E+00   0.7590130021E+00   0.2452884001E+02   0.1551151113E-04   0.1551151113E-04  -0.5518617121E-14  -0.4115115359E-14  -0.1206775273E-15
   0.0000000000E+00   0.7590130021E+00   0.7590130021E+00   0.2452884002E+02   0.1551151099E-04   0.1551151099E-04  -0.4049510212E-14   0.1286990625E-14   0.7362841586E-15
   0.3500000000E+01   0.0000000000E+00  -0.6731952771E-16   0.2452884002E+02   0.1551151152E-04   0.1551151152E-04  -0.5380599216E-15  -0.2493138006E-14   0.1335300572E-14
   0.3500000000E+01   0.7590130021E+00   0.1162150303E-15   0.2452884002E+02   0.1551151105E-04   0.1551151104E-04  -0.4972425192E-15   0.2778265600E-14  -0.4894344015E-15
   0.3500000000E+01   0.0000000000E+00   0.7590130021E+00   0.2452884002E+02   0.1551151104E-04   0.1551151105E-04   0.1628201862E-15   0.1988036056E-16   0.6214281027E-15
   0.3500000000E+01   0.7590130021E+00   0.7590130021E+00   0.2452884001E+02   0.1551151054E-04   0.1551151054E-04  -0.1192671585E-14  -0.4777120463E-15  -0.1203306870E-14
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="0.6000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.3027289495E+02   0.1190347687E-04   0.1190347687E-04  -0.1401073318E-15  -0.2615446069E-14  -0.1876956307E-14
   0.1900000000E+01   0.0000000000E+00  -0.1211397353E-15   0.3027289495E+02   0.1190347649E-04   0.1190347649E-04   0.3114571436E-15  -0.7413029244E-15  -0.4360877113E-15
   0.1900000000E+01   0.7291274428E+00  -0.1797608710E-15   0.3027289495E+02   0.1190347676E-04   0.1190347676E-04   0.2865865460E-14  -0.9252526921E-15  -0.5332218180E-15
   0.0000000000E+00   0.7291274428E+00  -0.2559076222E-15   0.3027289495E+02   0.1190347674E-04   0.1190347674E-04   0.4944886627E-14   0.1789946289E-14   0.5867018803E-15
   0.0000000000E+00   0.0000000000E+00   0.7291274428E+00   0.3027289495E+02   0.1190347687E-04   0.1190347687E-04   0.3496262804E-15  -0.1402747399E-14  -0.5349673971E-17
   0.1900000000E+01   0.0000000000E+00   0.7291274428E+00   0.3027289495E+02   0.1190347649E-04   0.1190347649E-04  -0.3099344195E-14   0.2163863339E-14   0.6157585949E-15
   0.1900000000E+01   0.7291274428E+00   0.7291274428E+00   0.3027289494E+02   0.1190347676E-04   0.1190347676E-04  -0.3925606457E-14  -0.4929458846E-15   0.5186244880E-15
   0.0000000000E+00   0.7291274428E+00   0.7291274428E+00   0.3027289494E+02   0.1190347674E-04   0.1190347674E-04  -0.2710242570E-14   0.1745324162E-14   0.2458308512E-14
   0.3800000000E+01   0.0000000000E+00  -0.2433975441E-15   0.3027289495E+02   0.1190347704E-04   0.1190347705E-04   0.1826068689E-15  -0.2289121024E-14   0.3174140919E-15
   0.3800000000E+01   0.7291274428E+00  -0.1998993483E-15   0.3027289494E+02   0.1190347703E-04   0.1190347703E-04   0.2064295430E-15  -0.1013683700E-14   0.4703276550E-15
   0.3800000000E+01   0.0000000000E+00   0.7291274428E+00   0.3027289494E+02   0.1190347704E-04   0.1190347704E-04   0.5618747743E-15   0.2308512834E-14  -0.4456060389E-15
   0.3800000000E+01   0.7291274428E+00   0.7291274428E+00   0.3027289494E+02   0.1190347703E-04   0.1190347703E-04   0.1969219099E-14  -0.1044479583E-15  -0.2926924757E-15
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="0.7000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.3635079000E+02   0.6863608215E-05   0.6863608215E-05   0.3595784629E-16   0.4241805077E-14   0.1057764394E-14
   0.2050000000E+01   0.0000000000E+00   0.1230107279E-15   0.3635079000E+02   0.6863607823E-05   0.6863607824E-05  -0.2177681326E-14   0.1798792138E-14  -0.6028559238E-15
   0.2050000000E+01   0.7026489720E+00   0.2122631253E-16   0.3635079000E+02   0.6863607866E-05   0.6863607867E-05  -0.3282139236E-14   0.8450009515E-15   0.1115241710E-14
   0.0000000000E+00   0.7026489720E+00   0.1593477739E-15   0.3635079000E+02   0.6863608572E-05   0.6863608568E-05  -0.8861364782E-14  -0.2322782862E-14  -0.9066177104E-15
